Alloy,Doping type,Temperature (K),Doping (cm⁻³),S (µV/K),sigma (S/m),kappa_e (W/(m·K)),ZT_e (-)
HfCr_Co2_Sn2,p,700.0,1e+20,434.1450050102297,9072.050255569997,0.23265895624485786,5.144620326642479
HfCr_Co2_Sn2,p,800.0,1e+20,392.09462831106083,9498.812584092093,0.6318679788458228,1.8489056251462226
HfCr_Co2_Sn2,p,900.0,1e+20,309.3266735447707,11345.693653057106,1.4010324840066852,0.6973649248918821
HfCr_Co2_Sn2,p,1000.0,1e+20,227.26578690729596,15022.887013261614,2.427862247888536,0.31959316365248486
HfCr_Co2_Sn2,p,1100.0,1e+20,171.94271959711807,20365.49466408888,3.6126659832776062,0.18332741802687888
HfCr_Co2_Sn2,p,1200.0,1e+20,139.09267491258584,27046.62603381593,4.942184408691534,0.12705270457874282
HfCr_Co2_Sn2,p,1300.0,1e+20,119.61773407741778,34821.18387969863,6.415374442705705,0.10096155194286677
HfCr_Fe2_As2,n,100.0,-1e+16,928.4202997157768,1.8360922665466166,3.433751516150831e-06,46.09086858469346
HfCr_Fe2_As2,n,200.0,-1e+18,634.8026327571583,178.97391985372562,0.0008105168295848331,17.79652246913142
HfCr_Fe2_As2,n,300.0,-1e+19,492.730904845479,1734.283728497847,0.013874972509537615,9.103929341045797
HfCr_Fe2_As2,n,400.0,-1e+20,340.973695085289,16460.9877875368,0.1283466145249003,5.9644886780037325
HfCr_Fe2_As2,n,500.0,-1e+20,356.32167066628614,16163.515732767317,0.23694376227665384,4.330569635639211
HfCr_Fe2_As2,n,600.0,-1e+20,331.6491809176716,16896.091622506658,0.6336715975827296,1.7596695656648234
HfCr_Fe2_As2,n,700.0,1e+20,-196.9091649302172,27883.672910865982,1.2074581585948254,0.6267694069389294
HfCr_Fe2_As2,n,800.0,1e+20,-157.5229346226706,32972.37625609579,2.3374362288025696,0.2800193550872751
HfCr_Fe2_As2,n,900.0,1e+20,-115.28176133206215,41207.77157560596,3.887704661159873,0.12677965922596338
HfCr_Fe2_As2,n,1000.0,1e+20,-81.43158280145789,52095.241381715525,5.739513606358282,0.06018783442402719
HfCr_Fe2_As2,n,1100.0,1e+20,-56.486335550884405,64996.39978354707,7.822029008344368,0.029164152962667174
HfCr_Fe2_As2,n,1200.0,-1e+20,40.835633515620096,75990.51949653706,10.685754572016615,0.014230300116311967
HfCr_Fe2_As2,n,1300.0,-1e+20,34.28535127846984,92121.75934903993,13.03868942736329,0.01079664550323448
HfCr_Fe2_As2,p,100.0,1e+16,928.4202997157768,1.8360922665466166,3.433751516150831e-06,46.09086858469346
