Alloy,Doping type,Temperature (K),Doping (cm⁻³),S (µV/K),sigma (S/m),kappa_e (W/(m·K)),ZT_e (-)
HfCr_Fe2_Bi2,n,200.0,1e+18,-439.7115356255367,260.73446300375366,0.0014325595351082,7.038035824257315
HfCr_Fe2_Bi2,n,300.0,1e+19,-297.29799733622167,2404.072937763287,0.023066814364174768,2.7635367310136907
HfCr_Fe2_Bi2,n,400.0,1e+20,-178.05711884387833,19717.79324990282,0.19008653405324072,1.3154841850600019
HfCr_Fe2_Bi2,n,500.0,1e+20,-200.5650936262848,18577.101342392692,0.32734438011839057,1.141441784171707
HfCr_Fe2_Bi2,n,600.0,1e+20,-180.25124255314222,19178.882965761106,0.775170594968943,0.48231837067219757
HfCr_Fe2_Bi2,n,700.0,1e+20,-117.71323461998877,22881.729122290228,1.6875655160314114,0.13151546511845644
HfCr_Fe2_Bi2,n,800.0,1e+16,59.26427837158483,27752.244780778972,3.218234201375815,0.02423016991684596
HfCr_Fe2_Bi2,n,900.0,1e+16,64.24087416841012,38826.09456854815,4.578941538224188,0.031493722962149966
HfCr_Fe2_Bi2,n,1000.0,1e+16,69.41880810457475,51321.073376021224,6.119987810782025,0.04041098900192878
HfCr_Fe2_Bi2,n,1100.0,1e+16,73.67171423193822,64926.09529002148,7.798564342592449,0.04970486070237644
HfCr_Fe2_Bi2,n,1200.0,1e+16,77.69197275999942,79378.73342883943,9.575067269892122,0.06004763064232995
HfCr_Fe2_Bi2,n,1300.0,1e+16,80.86217355795071,94397.89427635436,11.417149371017556,0.07028114006158726
HfCr_Fe2_Bi2,p,100.0,1e+16,895.0456848729797,2.2015549774004755,3.9754353171056565e-06,44.364465118266935
HfCr_Fe2_Bi2,p,200.0,1e+18,590.863506361492,205.1376024872396,0.001453443418462818,9.854883082851318
HfCr_Fe2_Bi2,p,300.0,1e+19,451.85072699039574,1901.444807333223,0.024002563790662193,4.852184617248328
HfCr_Fe2_Bi2,p,400.0,1e+20,320.22684035787194,16940.579983684456,0.1524846742737677,4.5569842790596615
HfCr_Fe2_Bi2,p,500.0,1e+20,329.99172776978554,16561.258611557507,0.3228152596859133,2.793285928688138
HfCr_Fe2_Bi2,p,600.0,1e+20,291.48494350245386,18160.383787511502,0.844138531923844,1.0967175692107596
HfCr_Fe2_Bi2,p,700.0,1e+20,223.4312240832031,22866.039308362742,1.788113231881712,0.44687051305525793
HfCr_Fe2_Bi2,p,800.0,1e+20,167.61534942903413,30770.015841126704,3.01512824301046,0.22937151946778278
HfCr_Fe2_Bi2,p,900.0,1e+20,133.22185230376473,41105.25199742193,4.435891986517253,0.14801638640670634
HfCr_Fe2_Bi2,p,1000.0,1e+20,114.42979223062748,53260.638990900945,6.007607914549112,0.11608684565270469
HfCr_Fe2_Bi2,p,1100.0,1e+20,104.39148040422786,66717.11820256447,7.700464327487947,0.10385876733386458
HfCr_Fe2_Bi2,p,1200.0,1e+20,99.4206866119584,81121.4980653927,9.481407294037952,0.10148408056007216
HfCr_Fe2_Bi2,p,1300.0,1e+20,96.60609817327617,96102.7502667096,11.325895856769051,0.10294747244535886
HfCr_Fe2_Sb2,n,100.0,1e+16,-718.9196489828014,3.4464905933112853,6.309844582322326e-06,28.23053719758749
HfCr_Fe2_Sb2,n,200.0,1e+18,-413.8857946885602,324.8771150597447,0.001401579993333647,7.941312159953692
HfCr_Fe2_Sb2,n,300.0,1e+19,-273.81746711026636,3037.9369551126642,0.02203265638079738,3.1013833279307015
HfCr_Fe2_Sb2,n,400.0,1e+20,-150.2093732794104,25539.401286071414,0.2340876462177557,0.9846599567002877
HfCr_Fe2_Sb2,n,500.0,1e+20,-177.64797240588982,24285.34105100004,0.3293750854419692,1.1634399595361868
HfCr_Fe2_Sb2,n,600.0,1e+20,-185.03590631580107,23961.214445633163,0.607436835482436,0.8103469004618785
HfCr_Fe2_Sb2,n,700.0,1e+20,-160.27754451128226,25867.020537860983,1.2716471848430304,0.3657827110223748
HfCr_Fe2_Sb2,n,800.0,1e+20,-114.72022436121252,30799.24227765849,2.3674890045127714,0.13696891762534974
HfCr_Fe2_Sb2,n,900.0,1e+20,-70.45466120251747,38529.59870196204,3.7795981284351083,0.045541867096468645
HfCr_Fe2_Sb2,n,1000.0,1e+20,-36.00612221225131,48409.633298778564,5.408225295306171,0.011604587840627937
HfCr_Fe2_Sb2,n,1100.0,1e+16,34.697925337776866,58476.6927076987,7.459653886073684,0.010381588871599597
HfCr_Fe2_Sb2,n,1200.0,1e+16,40.42717257044879,71817.94894550634,9.294049973011562,0.015155001278867914
HfCr_Fe2_Sb2,n,1300.0,1e+16,45.56652405600219,85803.64847375615,11.226833532797142,0.020629258854001045
